Year,Month,SOI
2015,10,-21.30
2015,11,-3.23
2015,12,-10.08
2016,1,-21.75
2016,2,-19.06
2016,3,-6.34
2016,4,-19.07
2016,5,2.83
2016,6,3.72
2016,7,3.70
2016,8,4.67
2016,9,13.82
2016,10,-4.51
2016,11,0.68
2016,12,0.43
2017,1,0.50
2017,2,-2.24
2017,3,3.80
2017,4,-6.31
2017,5,0.68
2017,6,-9.45
2017,7,6.51
2017,8,3.50
2017,9,6.16
2017,10,10.64
2017,11,10.40
2017,12,-2.61
2018,1,8.93
2018,2,-7.74
2018,3,8.42
2018,4,4.02
2018,5,2.69
2018,6,-6.27
2018,7,1.79
2018,8,-6.70
2018,9,-8.49
2018,10,2.61
2018,11,0.56
2018,12,9.14
2019,1,-2.24
2019,2,-14.62
2019,3,-6.48
2019,4,-2.43
2019,5,-7.41
2019,6,-9.99
2019,7,-5.86
2019,8,-3.14
2019,9,-12.72
2019,10,-5.19
2019,11,-9.45
2019,12,-6.72
2020,1,0.65
2020,2,-2.60
2020,3,-6.02
2020,4,-0.75
2020,5,2.57
2020,6,-9.13
2020,7,4.25
2020,8,8.39
2020,9,9.93
2020,10,4.37
2020,11,9.24
2020,12,16.77
2021,1,15.85
2021,2,11.32
2021,3,-0.46
2021,4,0.58
2021,5,3.90
2021,6,0.04
2021,7,16.26
2021,8,4.43
2021,9,9.19
2021,10,7.66
2021,11,11.73
2021,12,12.99
2022,1,2.65
2022,2,7.39
2022,3,11.93
2022,4,20.01
2022,5,18.56
2022,6,15.70
2022,7,7.63
2022,8,8.81
2022,9,18.89
2022,10,19.16
2022,11,4.77
2022,12,18.41
2023,1,11.16
2023,2,10.80
2023,3,-1.78
2023,4,-1.20
2023,5,-15.26
2023,6,-3.19
2023,7,-3.32
2023,8,-10.85
2023,9,-13.87
2023,10,-6.63
2023,11,-8.38
2023,12,-3.78
2024,1,3.96
2024,2,-15.55
2024,3,-0.35
2024,4,-6.43
2024,5,3.93
2024,6,-4.89
2024,7,-5.83
2024,8,5.90
2024,9,0.36
2024,10,4.31
2024,11,6.96
2024,12,9.72
2025,1,2.19
2025,2,7.14
2025,3,7.75
2025,4,4.13
2025,5,3.28
2025,6,0.58
2025,7,6.26
2025,8,2.21
2025,9,0.17
2025,10,12.07
2025,11,13.95
2025,12,-1.47
2026,1,7.99
2026,2,11.22
2026,3,7.59
2026,4,-9.88
2026,5,-13.22
2026,6,-22.69
